MTRN,BEP,FARM,KAI,KNW,ISDR,DYAI,MITK,PRTG,GILD,TNL,NBIX,ONCY,ARR,KLIC,EAT,QUBT,MRKR,LFMD,NEPH,CYTH,KOSS,FKWL,FLEX,AEHL,TSCO,FLNT,IHT,QCRH,FLS,IMAX,OXM,QUIK,FNB,WCN,RBCAA,WEYS,NSYS,RELX,SJT,WFCF,LIXT,DVAX,CHCI,PALT,NTWK,ALRS,FUN,HL,NVS,NWG,BCAL,SNA,BCML,WTW
-0.007148087,-0.022534652,-0.022756477,-0.064658373,0,-0.112902851,0.190476228,0,0,-0.002682257,0.006593204,-0.005976137,-0.004807658,-0.002168854,-0.026168382,-0.012117985,0,0,-0.199999988,0.010752707,0,0.010810799,-0.033898353,0.004612514,0,-0.011199511,0,0.111110908,-0.019608041,-0.013944492,-0.002751029,0.012572441,-0.025806514,-0.001341019,0.002629881,-0.00846409,-0.046245008,0,-0.00412164,-0.00523035,-0.066666747,0,-0.052734389,-0.069999967,0,-0.005319068,0,0.018719711,0.001001705,-0.00297713,-0.012587375,0,0.001784087,0,0.030321549
0.009719581,-0.00345865,-0.004393688,0.004713204,0,0,0,0.060606,0,0.012550622,0.010917283,-0.02204402,-0.009661862,-0.001087017,0.013435589,-0.0165332,0,0,0,0,0,0.016042593,0.035087771,-0.021120335,0,-0.024918625,0,0.038461586,0.023333157,0.019133106,0.011034472,-0.015759452,-0.003311244,-0.016107606,0,-0.01890255,-0.024789992,0.040268418,-0.003920673,0.001577201,0.071428664,0,0.06185567,-0.043010783,0,-0.037433194,0,0.023504424,0.002002415,-0.000398465,0.026912142,0,-0.012668017,0,-0.021997551
0.054545377,0,0.001765357,0.032055936,-0.083333333,0,0.080000043,-0.057142804,0,0.00929601,0.010367071,-0.02254101,-0.039024401,0.00217605,0.028408967,0.016811142,0,0,0.249999981,0,0,0.031578851,-0.016949136,0.008442814,0,0.000258474,-0.004178245,0.125925957,0.006514726,0.035098411,0.001364288,0.026201292,0.003322245,0.025239111,0.009508147,0.049098812,0.013831607,0,0.001749359,0.011810797,0,0,-0.038834951,-0.033707871,0,0.022222201,0,-0.002087635,0.040958803,-0.011153147,0.001379419,0,0.020048017,0,0.015805426
-0.049695707,-0.002313189,-0.009691679,-0.015908817,0,-0.081818532,0.259259222,0,0.12,-0.036622805,-0.016673943,-0.006289352,0.010152313,0,-0.016574385,-0.011200045,0,0,0,-0.042553174,-0.333333333,0.010204008,-0.051724169,-0.022325523,0,-0.018580763,0,0,0.060194193,0.006210081,-0.014986394,-0.019858267,0.006622578,-0.0266136,-0.010717461,-0.021326865,-0.015117838,0,0.062432026,-0.026718333,0,0,0.012121181,0,0,-0.038043417,0,-0.006694625,-0.02111314,-0.002618211,0.020661045,0,0.0075125,-0.014285678,-0.000598426
0.018142984,-0.004058362,-0.01156602,-0.00038464,-0.363636364,0,0.029411736,0,-0.107142857,-0.022991282,-0.009999682,0.029535939,-0.015075368,-0.003257279,-0.014981258,0.024272038,0,-0.0625,0,0.033333296,0.5,0.004040695,-0.018181801,0.004757341,0,0.013936791,0,-0.131578836,-0.007936272,0.008718434,-0.026279399,0.006270633,-0.013157927,0.018455264,0.005580558,-0.001815905,0.005990405,0,0.016025888,0.013058764,0,0,0.049900201,-0.023255792,0,0.045197695,0,-0.01684907,-0.033333373,0.016356989,0.031039171,0,-0.000196266,0,0.008383236
0.029350095,0.025611599,0.0144016,0.000384788,0.714285714,-0.009901048,0,0,0.12,0.016309534,0.012297209,0.010245843,0,0,-0.007604651,0.018957233,0,0,-0.199999988,0,0,-0.011066444,0.0074074,0.017992397,0,0.029045395,0,-0.053030135,0,0.020880108,-0.017045438,0.027325214,-0.003333319,0.01140917,-0.000979141,0.046088262,-0.011165192,-0.048387052,0.023256059,0.013944076,0,0.466666667,0.11787074,-0.023809582,0,0.005405426,0,0.012853518,0.034482801,0.00099341,0.053664952,0,0.022963985,0,0.013361065
0.014596135,-0.006810675,0.006654813,0.043879944,0,0,0.142857179,0,-0.035714286,0.010087432,0.018654504,0.014198818,0.005102004,0,0.021072874,0.030490955,0,-0.066666667,0,0,0,0.00305186,0.077205896,0.000930132,0,0.033266483,0,-0.040000356,0,-0.015981765,0.002890171,0.006066747,0.013377868,0.005972368,0.011111072,0.005797555,0.061347204,0.096610116,-0.001383404,0.023352939,-0.133333394,0,0.051020409,-0.060975596,-0.111111141,0.069892431,0.012084333,0.013113203,0.063725063,0.026212685,0.036024809,0,0.017075931,0,-0.004102007
-0.027768714,0.011296139,-0.007051552,-0.012536959,0,0,-0.249999981,0,0.055555556,-0.006128298,-0.012350648,0.023999977,0.005076105,0.001089502,0.024390409,-0.019558458,0,0,0,0.021505414,0,-0.00101432,-0.146757699,-0.006505462,0,-0.011707668,0,0.058333494,-0.064615526,-0.009087392,-0.023054733,0.006029347,0.006600722,-0.015830619,-0.002262442,-0.012680751,0.003191889,-0.102009253,0.017217368,-0.013621565,0,-0.181818182,-0.029126202,0.103896096,0,0.01005029,0,-0.008350376,0.017511786,-0.005379783,-0.013189479,0,-0.014336841,0,0
0.023399835,0.020571655,0.003994678,-0.011202421,0,-0.149999919,0,0,0,0.038136242,-0.023286234,-0.023437478,-0.015151507,0,-0.023809681,-0.025064103,0,0,0,-0.052631579,0,0,0,-0.013096357,0,-0.033069917,0,0,0.050000171,0.08692703,-0.022123907,-0.01014309,-0.003278674,-0.010218753,-0.001295811,-0.004669842,-0.029339268,0.094664406,-0.014202316,0.005431097,0,0,0.025,-0.035294125,-0.062499968,-0.009950287,0,-0.001684707,0.066123198,0.013822329,-0.010935569,0,-0.004976339,0,-0.002353646
-0.065904591,0,-0.012820546,-0.052114628,0,0,-0.0666667,0,0.052631579,0.040915459,-0.021191722,0.002000046,-0.005128168,0,-0.033771167,-0.032528808,0,0,0,0.111111111,0,0,0.023999977,-0.038862617,-0.003333382,-0.044410538,0,-0.015747816,0.005012321,-0.022529566,-0.040723978,-0.015370539,-0.016447386,-0.056434726,-0.015245207,-0.040469468,-0.015658939,0,-0.012038802,-0.008487749,0,0,0.011382126,-0.060975596,0,-0.005025145,0,-0.024883991,-0.022939433,-0.028848189,-0.063881995,0,-0.039815325,0,-0.031259197
