FCEL,XOMA,MYGN,AVDL,MBOT,PLX,EPM,CMCL,MED,SGRP,PPBI,WYY,SMTI,SCWO,OMEX,CLWT,MANH,EZPW
0.02507837,0,0.083736041,-0.058823529,-0.073529412,0,0,0,0,-0.025,0.046875003,0.029411765,0,0,-0.033084372,0.083333216,0.14893617,-0.088235334
-0.003058104,0.023076923,0.081723588,0.090909091,0.047619048,-0.333333333,0,0,0,0,0.014925407,-0.157142857,-0.125,0,0.310154597,-0.032967083,-0.047619048,0.161290894
0.003067485,-0.037593985,-0.028159461,0.083333333,-0.037878788,0,0,0,0.142857236,0.051282051,-0.029411831,0.06779661,0,1.099999744,-0.026116307,0,-0.038888889,0.027777354
-0.012232416,-0.0234375,-0.021201372,0.019230769,-0.070866142,0,0,0,-0.125000071,-0.073170732,0,-0.047619048,0,0.142857143,0.05363325,0.125000084,-0.106936416,-0.027026626
-0.003095975,-0.016,-0.112635312,-0.018867925,0.042372881,-0.75,0,0,0,0,0.030303101,-0.116666667,0.571428571,-0.208333282,0.026272566,-0.111111178,0.084142395,-0.013889313
-0.007763975,-0.056910569,-0.041497133,-0.096153846,-0.040650407,0,0.495999738,0,-0.142857154,-0.105263158,0,0,0.181818182,0,-0.350399971,-0.068181757,0.044776119,-0.014083653
-0.025039124,-0.034482759,-0.090831963,-0.053191489,-0.110169492,0,0,0,0,-0.044117647,0,0,-0.307692308,0.052631447,-0.076354721,-0.158536764,-0.102857143,-0.014286144
0.027287319,-0.035714286,0.098039206,-0.056179775,-0.123809524,0,-0.331550685,0,0,-0.138461538,0,-0.037735849,0.111111111,0.050000064,0,0.043478479,0.076433121,-0.043478261
0.01875,0,-0.070578219,0,0.086956522,0,0,0,0.500000142,0.142857143,0,0.117647059,0.3,0,0.166666667,0,-0.085798817,0
-0.042944785,-0.027777778,-0.033851761,0.035714286,0,0,0,0,0,0.21875,-0.058823564,-0.052631579,0,0,0,-0.041666867,0.01618123,0.015151978
