SMTI,SCWO,CMCL,OMEX,MED,FSI,EPM,ENSV,CLWT,CRK,PLX,DGX,CPSS,NVO,IOR,ASGN,WWW,MAT,RGR,DCO
0.375,-0.214285705,-0.166666514,0,0,0,0,-0.150399932,-0.124999934,0.053333356,0,0.03271053,0,0.001703986,-0.016948979,0.020942408,0.064171157,0.042105254,0.013986244,0.034246556
0,0.09090903,0,0,0,0,0,0,-0.020408295,-0.012658315,1.666666667,0.01357471,0.056603774,-0.013605552,-0.017241404,-0.007692308,-0.045225852,0,0.048276023,-0.019867602
-0.090909091,-0.166666718,0,0,-0.142857154,0,0,0,0,-0.012820519,0,-0.011904844,-0.017857143,-0.037931406,0,-0.023255814,0.010526134,-0.030303095,0.046052994,0
-0.2,0,0,-0.047256124,0,0,0,0,0,-0.012986936,0,0.010541627,-0.018181818,-0.013440576,0,0.013227513,0.02604212,0,-0.025157422,0
0.25,0.100000128,0,0.099200058,0,0,0,0,-0.041666426,0.026315716,0,0.004471373,0.037037037,0.011807238,0,0.044386423,0.076142128,0.005208186,-0.019354988,-0.013513442
-0.2,-0.136363629,-0.20000023,-0.090247501,-0.166666967,0,-0.198718037,0,-0.043478429,0.012820602,0,0.013353343,-0.071428571,-0.010772084,-0.017544094,-0.0875,-0.094340019,-0.025906445,0.032894457,-0.027397332
0.125,-0.10526328,0,0.099200058,0,0,-0.127999883,0,-0.136363514,-0.139240645,0.5,0.042459866,-0.230769231,-0.070780133,-0.017856855,-0.024657534,-0.041666891,-0.053191324,0.006369166,0.014084545
-0.222222222,-0.05882339,0.25000036,-0.090247501,-0.199999636,0,0.146788837,-0.039548079,-0.210526357,0.029411876,0,0.129213511,0.125,0.036132572,-0.036363903,0.011235955,-0.010869137,0.011235555,-0.012657608,0.013888926
0.428571429,0.062499843,-0.20000023,0,0.249999432,0,-0.127999883,0,0.183333111,0.028571534,0,0.114427388,-0.066666667,0.00942505,0,0.072222222,0.005494534,0.044444675,0.012819877,0.020547999
-0.2,0,0,0,0.200000432,0,0,0,-0.042253244,0.041666592,0,-0.016741268,0.119047619,-0.014939237,0,0.03626943,0.005464017,-0.005319147,0,-0.05369152
-0.125,-0.176470601,0,0,0,0,0,0,-0.058823683,0,0,-0.026106063,0.106382979,0.009478584,-0.01886762,0.01,0.032609124,-0.026738185,-0.018986672,0.042553312
0,0,0,0,-0.33333327,0,0,-0.274509779,0.062500174,-0.053333356,0,0.002330948,-0.076923077,-0.007511801,0,0.183168317,-0.010526529,-0.005494505,0.006451557,0.020408327
0,0,0,0.8,-0.250000071,-0.130434804,-0.215596365,0.432432326,0.176470468,-0.014084513,0,0.06511579,-0.020833333,0.033112581,0.038461363,-0.037656904,0,0.082872767,0.012819877,0.060000047
0,0,0,-0.055999968,0,0,0.315789395,0,-0.100000025,0.028571534,0,0.030567948,-0.106382979,-0.000915384,-0.018518657,0.004347826,-0.021276791,-0.005102113,0.006329997,0.069182363
0.285714286,-0.214285733,0,-0.058380446,1,0,-0.306666611,-0.301886741,-0.055555433,-0.013888984,0,0,0,-0.012832468,0,0.112554113,0.005434895,0.010256916,0.006288737,0
-0.222222222,-0.090908879,0,-0.031999985,-0.416666659,0.249999939,0,0,0,0.070422567,0,-0.01377125,-0.047619048,0.010213427,0,-0.023346304,0.037837965,0,0,-0.005882368
0.285714286,-0.10000011,0,-0.064049623,0,0,0,0.351351332,0.058823393,0.092105302,0,0.015037678,0,0.025735318,0,-0.005976096,-0.031250012,-0.015228706,0.006250767,0.035502955
-0.444444444,0,0,0.0342164,0,0,0,0,0.138888893,0.036144515,0,-0.013756846,0,0.016129202,0,-0.03006012,-0.005376454,-0.015463916,0,0.005714118
0,0,0,-0.066168659,0,0,0,-0.250000053,-0.02439022,0,0,-0.033261602,0,0.063492156,0,-0.061983471,0,-0.015706585,0,-0.011363577
0,0.222222087,0,0,0,0,0,0,0,0.023255824,0,0.007769188,-0.05,-0.001658654,0,0.039647577,0.021621822,-0.015957591,-0.006211938,-0.0114941
0,0,0,0.035428547,0.142857236,0,0.198717607,0,0.024999975,0.147727338,0,0.050660594,-0.052631579,-0.009966745,0,-0.033898305,0.005291113,0.010810961,0.018750152,0.034883623
0,0,0,-0.172185411,0,0,0,0,0.121951343,-0.059405963,0,-0.004192944,0.111111111,-0.004194502,0,0.004385965,-0.031579349,0.016042701,0,0.022471879
0,0,-0.249999922,0,0,0,0,0,0.065217267,0.052631668,0,0.014736926,0,0.000842422,0,0.052401747,0.038043774,-0.021052775,0,0.00549452
0,-0.181818091,0.666666973,-0.125333309,-0.125000071,0,0,0.066666742,-0.142857056,-0.030000074,0,-0.022821635,-0.1,-0.003366852,0,0.012448133,-0.041884648,-0.026881718,0,-0.016393485
0,0.111111247,-0.20000023,0.237804899,0.142857236,0,-0.165775163,0.092499968,0.095238112,0,0,0.054140122,0,-0.008446106,-0.037735688,-0.024590164,-0.005464509,-0.0110498,-0.006134918,-0.022222281
0.6,0,0,0.15394088,-0.125000071,0,-0.198718037,0.215103056,-0.086956536,0.092783476,0,0.079557135,0.055555556,0.035775036,0,-0.027310924,0.01648319,-0.039106067,-0.030864441,-0.045454307
0,0,0,-0.033084372,0,0,0,0,0.083333216,0.047169953,0,-0.007462812,0,0.020559401,0.039215513,-0.023758099,-0.027026608,0.017441859,0.019108331,0
-0.125,0,0,0.310154597,0,0,0,-0.177024537,-0.032967083,-0.036036163,-0.333333333,0.048871888,-0.105263158,0.012892707,-0.01886762,-0.008849558,0.033333002,0.028571426,0.006250767,0.023809488
0,1.099999744,0,-0.026116307,0.142857236,0,0,0,0,0.084112125,0,-0.026881328,-0.352941176,0.022275504,0,0.015625,-0.032257755,0.133333323,-0.006211938,0.058139402
0,0.142857143,0,0.05363325,-0.125000071,0,0,0,0.125000084,-0.017241387,0,-0.043278301,1.045454545,-0.009338765,0,0.008791209,-0.016667002,0.024510078,-0.006249436,-0.016483647
0.571428571,-0.208333282,0,0.026272566,0,0,0,0,-0.111111178,0.078947461,-0.75,-0.051010233,-0.244444444,-0.003927721,0.019230453,0.010893246,-0.01694916,-0.038277835,0.025156804,0
0.181818182,0,0,-0.350399971,-0.142857154,0,0.495999738,0,-0.068181757,0,0,-0.009128346,0.058823529,0.012618291,0,0,-0.011494315,-0.014925164,-0.006134918,-0.00558643
-0.307692308,0.052631447,0,-0.076354721,0,0,0,0,-0.158536764,-0.016260064,0,-0.006140866,-0.055555556,0.011682328,-0.01886762,-0.010775862,0,0.050504898,-0.006172281,-0.028089961
0.111111111,0.050000064,0,0,0,0,-0.331550685,0,0.043478479,-0.008264625,0,0.118434636,0.176470588,-0.00230942,0,-0.02832244,-0.011627535,0.052884882,0.031055416,0.017340995
0.3,0,0,0.166666667,0.500000142,0,0,0,0,-0.008333391,0,0.020257949,-0.125,0.006944296,0,-0.004484305,0.029411385,0.009132289,-0.006024341,-0.005681653
0,0,0,0,0,0,0,0,-0.041666867,0.016806948,0,0.023465378,-0.085714286,0.054406142,0,-0.072072072,0.01714338,-0.018099798,-0.006060258,0.005714118
0,0,0,-0.142857143,-0.333333396,0,-0.255999901,0,-0.072463606,-0.016529143,0,-0.03350971,0.03125,-0.010174376,0.019230453,-0.004854369,-0.011236264,0,0.001243998,0
-0.153846154,0,0,0,0,0,0,0,0,0.00840342,0,-0.020072827,-0.03030303,-0.034507936,0,0.014634146,0.022727478,0,-0.006211563,0.01704541
0,0,0,0.039999962,0,0,0.677419316,0,0.062500174,0.050000022,0,0.024208679,-0.0625,-0.012927878,0.075471937,0.038461538,-0.022222419,0.036866556,0,0.011173304
0.181818182,0,0,0.361538558,0,0,-0.198718037,0,0,-0.007936562,0,-0.029090746,0.2,0.036209845,0,-0.055555556,0.005681678,0.026666601,-0.01875026,-0.022099418
0,0,0.25000036,-0.235404888,0,0,0,0,-0.058823683,-0.056000078,0,-0.050561893,-0.111111111,0.00594758,-0.035087666,0.056372549,-0.011299496,0.012987073,0.006369619,0.062146965
-0.230769231,-0.047619106,-0.20000023,-0.076354721,1.666666919,0,0,0,-0.031250048,0.016949271,1,-0.024655166,0,-0.03030288,0,0.023201856,-0.034285731,-0.017093835,-0.012657997,0.031914805
0,0,0.25000036,-0.042666647,-0.125000071,0,0,0,0.032258116,-0.016666781,0,-0.013144412,0.0625,0.024390013,0.01818152,-0.015873016,0.023669214,0.021738818,0,0
0.3,-0.19999989,0,0.044568224,-0.142857154,0,0,0,0,0.008474636,0,-0.009221386,0,-0.02752964,0.035714558,-0.02764977,0,0.021276596,-0.025641274,0.010309388
-0.230769231,0.749999943,-0.20000023,0,0,0,0,0,0.125000039,0,0,0.01861434,-0.029411765,0.00688607,0,0.047393365,-0.005780896,-0.029166433,0.013157761,0.015305998
0.4,0.178571377,0,0.166666667,0.166666682,0,0,0,0,0.050420193,0,-0.029441556,0.212121212,-0.025836002,-0.025862004,-0.158371041,-0.017441869,-0.004292206,0.006493807,-0.015075257
0,-0.090909091,0,-0.142857143,-0.428571382,0,0,0,-0.111111142,0.008000055,0,0.020920438,-0.1,0.029641411,-0.023508272,0.021505376,-0.029585518,0,-0.038709796,0.005101972
0,0.133333374,0,0,0.125,0,0,0,0,0.039682607,0,0.043032453,0,-0.015151695,0.018518594,0.110526316,0.006097593,-0.012930673,0.020134185,0
-0.285714286,-0.0294118,0,0,0,0,0.248000137,0.144164793,0,0.015267082,0,0.015717206,0,0.01461544,-0.38181813,0.030805687,0.042423917,-0.021834117,0,0
0,-0.090909091,0,0,0,0.080000063,0,0,0.062500174,0.037593953,0.25,0,0,0.017437586,-0.235294445,0.082758621,-0.04651136,-0.020488961,-0.006578722,0.005076236
0,0,0,0,0,0,-0.40384614,-0.126000025,0,-0.079710135,0,0.081238376,0.055555556,0.013412848,0.230769231,0.012738854,0.006097593,-0.032109975,-0.026490217,-0.025252588
0,0.266666626,0,-0.083999952,0,0,0,0,-0.058823683,0.023622211,0,0.065742318,-0.026315789,0.003676462,0,-0.006289308,0,-0.01895736,-0.013605631,0
0.2,0.052631645,0,0,0,0,0,0,0,0,0,-0.011330279,0.027027027,-0.013187053,0,0.012658228,0,0.019323686,0,0.010362638
0.166666667,-0.175000025,0,0,0,0,0.344085842,-0.141876466,-0.062499942,-0.030769339,0,-0.033956021,-0.052631579,0.009651331,0,0.002083333,-0.042424008,-0.01421807,-0.027585709,0
-0.071428571,0.257575795,0,0,-0.111111111,0,0,0,-0.050000074,0.01587292,0,-0.015817211,0.111111111,-0.018382413,0.500000363,-0.014553015,-0.037975251,0.019230852,-0.028368951,-0.005128219
0.230769231,-0.2048193,0,0,0,0,0,0,0,0.093750047,0,0.012499856,-0.05,-0.017228488,-0.031250008,0.046413502,0.019737149,-0.009434331,0.036496148,-0.005154571
0.0625,0.060606024,-0.249999922,-0.090247501,0,0,-0.255999901,0.165333382,0.192982671,0.007142999,0,-0.001763488,-0.052631579,0.034298484,0.032258073,0.032258065,0.019355134,0.019048238,-0.021126715,-0.005181278
0.117647059,0,0,-0.100800006,0,0,0,0,-0.176470759,-0.02127674,0,0.023852134,0,-0.000736624,0.041666475,0.072265625,0.050632496,-0.026869494,0.035971375,-0.020833385
-0.052631579,0,0,0,0.499999858,0,0,-0.141876466,0.107142851,0.043478375,0,0.000862277,-0.083333333,-0.002950035,0.170000266,-0.087431694,-0.032881155,-0.006002326,-0.041666792,0.02127665
-0.055555556,0,0,0,0,0,0,0,-0.096774188,-0.111111241,0,0.031035007,0,0,-0.008546944,-0.025948104,-0.012499313,0.019323686,0.028985443,-0.005208429
-0.058823529,-0.057142824,0,0.112099651,0,0,0,0.165333382,0.178571624,0.046875124,0,-0.00836174,0,0.057692247,0.017241148,0.008196721,0.018986711,0.014218268,0.035211305,0.020942379
0.375,0,0.333333194,0,0,0,0,-0.070938203,0.121212069,-0.014925379,0,0.022765447,0.151515152,0.050349983,-0.033898153,-0.032520325,-0.006211256,-0.018692185,-0.027211153,-0.005128219
-0.272727273,0,-0.249999922,0,0,0,0,0,0,-0.022727331,0,0.024732098,0.184210526,0.013315357,0,0.018907563,0.006250077,0.004762259,0.041958299,0.05670118
0.3125,0.075757613,0,0,0,0,0,0,0,0.031007766,0,0.012872367,-0.066666667,0.006570475,0.035087556,-0.003608247,0,0.042654011,-0.026845795,0.024390149
-0.238095238,-0.154929607,0,-0.086399968,0,0,0.677419316,0.076354665,-0.243243334,-0.030075201,0,0.029387947,0,0.019582199,-0.050847476,0.026383859,0.192546437,0.00454541,0,0.019047668
