CHRD,SOBR,INLX,BRTX,PRTG,UGRO,EQ,UONE,MCRB,FTEK,CVGI,CLF,BECN,RRX
-0.073170758,0.157142892,-0.002499998,0,-0.004454931,0,-0.052264761,-0.532548739,0.004255315,-0.033333302,-0.048507504,-0.019786927,-0.029726948,-0.00295858
-0.026315765,0.234567864,0,-0.5,0.043835644,0.96078435,0.014705868,0.966955148,-0.067796549,-0.011494242,-0.02352939,-0.080745338,-0.034556442,-0.014124658
-0.099099111,-0.053333321,0,1,-0.077865278,0,-0.010869555,0.451999969,0.090909111,-0.023255861,-0.008032121,-0.054054082,0.010332058,-0.001926271
-0.00999999,0.042253495,0,0,0.020872836,0,-0.040293089,-0.466666639,0.012499988,-0.071428576,-0.024291475,0.019642881,0.054054109,-0.002774467
-0.030303061,0,0,-0.5,-0.000185842,0,0.003816881,0.341425542,0.026748896,0.012820577,0.024896241,-0.001751354,0.001732475,0.002177335
-0.187500012,-0.155405395,0,1,-0.001487299,0,0.022813665,-0.042356508,-0.052104161,-0.037974722,-0.064777362,-0.050877188,-0.089934292,-0.026071166
0.076923083,0,-0.245614039,0,-0.04580151,0,0.003717468,-0.11540011,0.040169145,0,-0.038961003,0.016635888,-0.004180871,0.030115259
-0.047619004,0.16,0,-0.5,0.033170747,0,0.06666669,-0.056818182,-0.03455286,-0.013157882,0.189189221,-0.038181825,-0.054961851,0.013835345
0,0,0.063122943,0,0.038715755,0,-0.017361177,-0.131084304,-0.016842089,0.399999936,0.113636341,0.020793976,0.051696312,0.018511988
-0.062500014,0,0,0,-0.049181851,0,0.042402872,0.123128077,0.019271981,-0.199999989,-0.017006786,0.022222201,0.012672808,0.017359872
0.026666641,0,0,0,-0.020938855,0,-0.050847489,-0.030617325,0.008403353,0.011904822,-0.038062329,-0.02717393,-0.033750522,-0.029431971
-0.025974002,0.034482759,0.406249979,1,0.000976548,0,-0.00714285,-0.018339211,0.039583244,0.011764694,0.03237407,0.005586631,0.001962368,0.016519192
-0.026666641,0,0,0,-0.009756098,0,0.017985595,-0.013492487,0.020040158,0.023255791,-0.090592335,0.033333301,0.030552243,0.019036557
-0.027397315,0.163333284,0.022222201,0,-0.01773402,0,0,-0.063124711,0.10805495,0.284090911,-0.06513404,-0.048387094,-0.010642295,-0.024718056
0,-0.134670472,0,-0.5,-0.007021033,0,-0.010600697,-0.107243116,0.046099332,-0.079646048,-0.053278734,-0.030131798,0.036496305,0.019037575
-0.084507048,0.158940426,0,1,0.054040389,0,0.185714282,-0.115723223,-0.067796625,-0.019230752,-0.056277004,-0.031068024,-0.067828019,-0.012951258
0.061538497,0,0,-0.5,0.030186886,-0.100000024,-0.03915659,0.107396816,-0.179999958,-0.03921565,0.055045817,0.150300608,0.003976158,0.004180221
-0.02898548,0,0,1,-0.055999969,0,7.307209882,-0.104688513,-0.072062144,-0.071428563,0,-0.013937269,-0.005148482,0.013066573
