DYAI,MITK,PRTG,MRKR,KRMD,SONN,TCBK,WFCF,NEPH,PLG,SNEX
0,0,0,-0.04,0.073825451,0,-0.016149991,0,0,0.008264463,-0.022132803
0.724999968,0.549999989,0,-0.208333333,0.031250064,0,0.032173623,0,-0.071428571,0.016393443,-0.002469192
0.086956525,-0.16129036,0,0.368421053,0.030303,0,0.008905822,0.136363677,-0.076923077,-0.004032258,0.056518187
0,0.153846242,-0.166666667,-0.115384615,0.05882356,0,0.005043886,0.200000072,0.066666638,0,0.015228328
-0.400000016,0.3333333,0,-0.043478261,0.166666584,0,0.021330071,-0.033333373,0.125000083,-0.008097166,0.078076992
0.222222281,0.274999957,0,0.090909091,0.023809573,0,-0.015970601,-0.241379352,0.041666618,0.06122449,-0.004994695
0.272727223,-0.254901956,0,-0.083333333,-0.023255861,-0.014285714,-0.003745134,0,-0.066666667,0.034615385,0.026174309
0,-0.157894745,0,0,-0.047619004,0,-0.035087846,0,0.071428571,0.089219331,-0.00524111
0,0.406249994,0,0,0.045000016,0,-0.024025879,0,0.066666667,0.064846416,-0.051633275
-0.357142863,0,0,0,-0.014354096,0,0.059214985,0,-0.0625,-0.070512821,-0.003703753
0.400000026,0,0,0.136363636,-0.053398094,0,-0.028266068,0,-0.080000023,0.013793103,0.016728689
-0.126984101,-0.066666671,0,-0.12,0,0,0.031027421,0.136363677,0.159420318,0.105442177,0.022669135
0.236363623,0,0.1,0.090909091,0.025641079,0,0.002507551,0.160000022,-0.025000042,0.009230769,-0.015731227
-0.044117692,-0.214285659,0,0.166666667,0.029999986,0.014492754,0.030644263,-0.172413852,0.064102567,-0.00304878,0.009444286
0,0.363636273,0,0.107142857,0,0,0,0.20833342,0.024096427,-0.024464832,-0.015473203
0.030769294,-0.266666618,-0.090909091,0.387096774,-0.077669916,0,-0.015169783,0,0,-0.021943574,0.02302632
0.044776076,0,0.1,-0.186046512,0.052631608,0,-0.01047447,0.034482802,-0.011764726,-0.025641026,-0.008574483
0.07142859,0,0,-0.028571429,0,0,0.025109967,0,-0.047619028,-0.042763158,-0.006486532
0.066666683,0,0,0.147058824,0,0,0.033068112,0,0,-0.017182131,0.033369678
-0.162499992,0,0.136363636,0,0,0,-0.053942034,0,-0.0625,0.083916084,-0.00351005
-0.029850806,0.272727182,0.08,0,0.029999986,0,-0.041353325,0,-0.013333356,-0.019354839,0.011623876
-0.076923006,0.047619075,0,-0.076923077,0,0,0.012418276,0,-0.054054032,-0.013157895,0.002437249
0,-0.249999966,-0.148148148,0.027777778,-0.0291262,0,-0.028405602,0,-0.014285739,0.02,0.017714493
-0.05000005,0.212121182,0,0,0,0,0.019269387,-0.10000002,-0.057970991,-0.052287582,0.014675779
-0.035087686,-0.125000028,0,0,-0.050000026,0,0.009126167,0.111111136,0.215384589,0.013793103,0.008745415
0.727272668,0,0.034782609,-0.081081081,0.031578933,0,0.014858426,0,-0.113924032,0.020408163,0.052684224
-0.526315796,0.142857179,0.050420168,-0.029411765,-0.005102051,0,-0.038192589,-0.166666717,0,-0.016666667,0.019638833
0.111111141,0,0,-0.090909091,0,0,-0.024487092,-0.040000051,-0.042857155,-0.020338983,-0.039763866
0,-0.125000028,0,0.066666667,0.025641079,0,-0.029172383,0,0.014925399,0.024221453,-0.010999712
0.539999962,0,-0.12,0.09375,0,-0.142857143,-0.02515719,0,-0.058823566,-0.02027027,0.054955883
0.168831167,0.371428564,0,-0.085714286,-0.00500001,0,-0.037275881,0.125000102,-0.12499995,0.003448276,-0.023255814
