PLX,SMTI,SCWO,EPM,CMCL,FSI,EGY,VGZ,DGX,LXU,ORKA,FORR,PRDO,ESE,POOL,ATLO,FLO,FNLC,FNWD,NEE,TEF
0,0,0.133333374,0,0,0,0,-0.142857143,0.043032453,0.100000242,-0.007272727,0.069471575,-0.00415504,-0.013244348,0.005747211,0,0.003164463,0,0,-0.01421142,0.001893943
0,-0.285714286,-0.0294118,0.248000137,0,0,0,0.166666667,0.015717206,0.090909234,-0.047619048,0.096065804,-0.018080751,0.006711281,0.005714178,0.022507981,0.031545744,-0.0165287,0,0.023591315,0.001890613
0.25,0,-0.090909091,0,0,0.080000063,0,-0.142857143,0,0,0.026923077,-0.005008369,0.008498584,0,-0.003787903,0,-0.006116254,0,0,-0.006402454,-0.05660396
0,0,0,-0.40384614,0,0,0,0,0.081238376,0,0.138576779,0.060402951,0.008426966,-0.026666937,-0.011406726,0,-0.040000073,0,0,-0.02319567,0
0,0,0.266666626,0,0,0,0,0.166666667,0.065742318,-0.124999354,-0.055509917,-0.018987361,0,-0.010273723,-0.039423831,0,-0.064102458,0,0,0.007915465,-0.027999881
0,0.2,0.052631645,0,0,0,0,-0.142857143,-0.011330279,-0.047620085,0.076186385,-0.032257934,0.022284123,-0.006920054,0.018018698,0,0.078767332,0,0,0.020941994,-0.041152523
0,0.166666667,-0.175000025,0.344085842,0,0,-0.271136986,0,-0.033956021,0.050001144,-0.051779935,-0.070000157,0,0.006968275,-0.08554585,0,-0.012698976,0,0,0.00641084,0.005364866
0,-0.071428571,0.257575795,0,0,0,0,0.166666667,-0.015817211,0,-0.049488055,-0.053763396,-0.013623978,-0.00346043,0.038709822,0,-0.003215459,0,-0.006097654,0.014012615,-0.005336238
0,0.230769231,-0.2048193,0,0,0,0,-0.142857143,0.012499856,0,0.113105925,0.136363773,0.060773481,0.041666927,0.031055839,0,0.06774247,0.025209853,0,0.001256124,-0.011802175
0,0.0625,0.060606024,-0.255999901,-0.249999922,0,0,0.166666667,-0.001763488,-0.047620085,0.022580645,-0.095000195,-0.005208333,0.006666096,0.042168796,0,-0.018127022,0,0,-0.006273503,0.059717565
0,0.117647059,0,0,0,0,0,0,0.023852134,0,0.110410095,0.077347697,0.005235602,0.033113186,0.03468172,0,-0.006153892,-0.001822524,0,0.017361175,0.028688398
0,-0.052631579,0,0,0,0,0,-0.142857143,0.000862277,0,0.014204545,-0.013675125,0.0078125,0,-0.039106079,0,-0.003096343,0,0,-0.02451104,-0.014940401
0,-0.055555556,0,0,0,0,0,0,0.031035007,0.200000422,0.018207283,0.009532324,0.002583979,-0.128204934,0.09302319,0,-0.008539894,0,0,0.007633231,0.036400395
0,-0.058823529,-0.057142824,0,0,0,0,0.166666667,-0.00836174,0.166666908,-0.031636864,-0.047210154,-0.001288581,0.128676385,-0.047872348,0,0.002349303,0,-0.018404887,0.006313108,0.052683128
0,0.375,0,0,0.333333194,0,0,-0.142857143,0.022765447,0,-0.005681818,0.007206986,0.011612824,-0.003257212,0.005586957,0,0.006249468,-0.004149926,0,-0.003764406,0.00092699
0,-0.272727273,0,0,-0.249999922,0,0,0.166666667,0.024732098,0,0.034285714,-0.120751321,0.030612245,0.045751297,0.016666633,0,-0.015527498,0,0,0.012594756,0.021296049
0,0.3125,0.075757613,0,0,0,0,-0.142857143,0.012872367,0,0.038674033,0.05696858,0.066831683,-0.012499867,0.013661083,0,0.009463793,0,0,0.01492552,0.011786182
0,-0.238095238,-0.154929607,0.677419316,0,0,0,0.166666667,0.029387947,0.089285515,0.005319149,-0.187680517,0.002320186,-0.006328993,-0.024258714,0,-0.021875509,0,0,0.039215322,0.000895862
0,0.0625,0.3,0,0,0,0,-0.142857143,0.148148116,0.377048701,0.042328042,-0.023992948,-0.036747685,0.003184175,0.008287277,0,-0.019169304,0,0,0.002358753,0.008952728
0,0,-0.05128202,-0.198718037,0,0,-0.128000045,0.166666667,0.049731076,0.095238382,0.05964467,0.108346124,-0.014719135,0,0.019177587,0,-0.013028936,-0.008333041,0,0.005882569,0.011534954
