CHRD,SOBR,BRTX,DUOT,LRMR,UONE,OXBR,OMI,GENE,WIMI,ODV,PRTG,INLX,UGRO,BACK,ATXG,IVT
-0.058823474,0,0,-0.026842085,0.111111111,-0.045000017,0.15651499,-0.062586978,-0.039867134,0,0,0.076923077,0,0,-0.069767414,0,0
-0.083333333,0,0.500000037,0.044528614,-0.007692301,0,-0.086666663,-0.105341237,0.020761259,0,0,-0.071428571,0,-0.152542335,0.050000032,0,0
-0.037878841,0,0,0.018294778,-0.093023262,0,-0.040145947,-0.016583718,-0.010169466,0,0,0.153846154,0,0,-0.100000015,0,0
-0.322834624,0.125,0,-0.035593226,-0.059829005,0.020942451,-0.049429699,-0.053962803,-0.010274012,0,0,-0.08,-0.111111111,0,-0.019841303,0,0
-0.616279061,0,0,-0.033391925,-0.10545454,-0.010256461,-0.039999962,-0.158645526,-0.034602077,0,0,-0.130434783,0,0,-0.15384616,0,0
0.242424182,0,0.3333333,0.054545489,-0.03963418,-0.129533682,0.059166648,0.033898453,-0.075268832,0,0,0,-0.125,0,0.084529516,0,0
-0.048780514,-0.088888889,-0.249999981,-0.103448338,-0.100529068,-0.035714253,-0.14791509,-0.081967264,-0.085271276,0,0,-0.083333333,0.142857143,0,0.205882394,0,0
-0.051282004,0,0,-0.228846082,-0.06705887,0.037037002,0.05263162,-0.080357219,-0.012711913,0,0,-0.090909091,0.25,-0.449999988,-0.204878083,0,0
1.702702668,0,0,0.127181976,0.060529683,-0.083333327,-0.003508727,0.059023656,-0.141630873,0,0,0.25,0,0,-0.018404842,0,0
-0.580000013,0.097560976,0.3333333,-0.159292042,-0.070154594,0.045454581,-0.031690152,0.114679056,-0.139999962,0,0,-0.12,0,0,-0.151562486,0,0
0,0,0,0.105263122,-0.076726345,-0.043478293,0.036363601,0.17901214,0.005813865,0,0,-0.090909091,0,0,-0.044198967,0,0
-0.166666655,0.311111111,0,0.0047619,-0.081717472,0,-0.122807007,0.05061091,-0.098265834,0,0,0,0,0,-0.094412289,0,0
0.22857147,-0.237288136,-0.249999981,-0.078198981,-0.007541471,0,-0.040000021,0.127906976,0.057692282,0,0,0,-0.2,0,0,0,0
-0.046511652,0,0,0.213367523,0.124620088,-0.019480501,-0.22916664,-0.129602446,0.024242401,0,0,-0.1,-0.98,0,-0.027659598,0,0
-0.073170735,0,-0.33333335,-0.006355876,0.033783751,-0.218543076,0,-0.013536353,-0.130177506,0,0,-0.055555556,0,0,-0.037199141,0,0
0,0,-0.5,-0.049040515,0.019607825,-0.033898274,0.148648666,-0.015437465,0.102040883,0,0,0,0,0,10.25000016,0,0
-0.026315765,0,0,-0.040358706,0.005128216,0.096491242,0.039999975,-0.015679268,0.123456784,0,0,0.058823529,0,0,-0.549494939,0,0
-0.081081083,-0.222222222,0,0.084112065,0.012755166,0.2,-0.106334821,-0.017699121,0.043956,0,0,0.111111111,0,-0.07272731,-0.013452937,0,0
-0.117647033,0,1,-0.032327608,-0.001259505,-0.213333368,-0.00759499,-0.007207192,-0.015789434,0,0,0,0,0,-0.104545478,0,0.8
0,0,0,0.002227223,-0.013871347,0.06779665,0.031887802,0.522686076,0.042780706,0,0,-0.1,0,0,-0.167512656,0,0
0.1666666,0,-0.5,0.053333282,-0.0153453,-0.158730198,0.079110024,0.090583896,0.010256449,0,0,0.011111111,0,0,0.231707267,0,0
-0.171428581,0,0,-0.009493587,-0.045454503,0.198113254,0,-0.122404339,-0.172588903,0,0,-0.010989011,0,0,-0.163366303,0.707317113,0
0.172413839,0,0,0.020234246,-0.016326563,0.015748017,0.006872832,-0.068493117,-0.012269869,-0.020000024,0,0,0,0,-0.065088741,0,0
0.117647033,0,1,-0.039665983,0.023513167,-0.015503862,-0.112628027,-0.093582856,-0.099378903,-0.025974002,0,0,0,0,-0.094936706,0,0
-0.105263137,0,0,0.084565206,-0.016216249,0,0.012820577,-0.001474941,0.055172427,0,0,0.1,0,0,0.013985978,0,0
-0.088235297,-0.028571429,0,-0.001403081,0.030219801,-0.062992067,0.025316431,-0.106351543,0.032679738,0.035047622,0,-0.04040404,0,0,-0.027586224,0,0
0.032258034,0.176470588,0,-0.036531451,0.017333349,-0.109243788,-0.024691334,-0.061157076,0.012658216,0.009385373,0,0,25.87500179,0,-0.035460994,0,0
0.062500035,0.05,-0.5,0,0.015727345,0.122641624,0,0.06866198,0.056249976,-0.039197839,-0.081481465,0.042105263,0.395348775,0,0.154411749,0,0
-0.029411736,0,0,-0.106458362,0.029677423,0.050420118,0.037974646,0.121910988,0.005917182,0.001897577,0,-0.090909091,0,0,0.133758031,0,0
-0.060606091,0.071428571,0,0.025880173,-0.010025009,-0.072000027,0.024390221,-0.029368447,0.029411765,-0.00757584,0,0.222222222,0,0.96078435,-0.028089887,0,0
-0.096774197,0,0,0,-0.044303829,-0.017241363,0.071428576,-0.001513019,-0.034285736,-0.00381679,0,0,0,0,-0.040462471,0,-0.488888889
-0.035714252,0,1,-0.03409093,0.095364274,0.035087686,0.065555574,0.086363775,-0.035502982,0.001915753,0,0.018181818,0,0,-0.018072243,0,0
0.037037,0,-0.5,0.03529414,-0.021765425,0.042372944,-0.119916591,-0.009762997,0.411043011,0.011472264,0,0.160714286,0,0,-0.012269985,0,0
-0.071428609,0.377777778,1,0.006363608,0.013597005,0,0.040284407,0.007042256,-0.173913043,-0.011342144,0,-0.192307692,0,0,0.006211164,0,0
