KNW,LIXT,DVAX,CHCI,BHRB,ISDR,MRKR,PRTG,SMTI,SGRP,QUBT,LFMD,NEPH,CYTH,SCWO,WFCF,DYAI,MITK,CTSO,HGBL
0.5625,0,-0.017543926,-0.036363603,0,0,0.136363636,0,0.016216216,0,0,-0.285714274,-0.080000023,-0.285714286,0,0,0.400000026,0,0,0
-0.2,0,0.011904808,-0.018867906,0.003952009,0,-0.12,0,0.196808511,-0.098214298,-0.056363609,0,0.159420318,0,-0.02173911,0.136363677,-0.126984101,-0.066666671,0,0.142857179
0,0,0,0.057692251,-0.003936452,0,0.090909091,0.1,0,0.019801962,0.059730219,0,-0.025000042,0.2,0,0.160000022,0.236363623,0,0,0
0.1,-0.125,-0.011764751,0.036363665,0,0,0.166666667,0,0,-0.019417458,0,0.5,0.064102567,0.166666667,-0.022222201,-0.172413852,-0.044117692,-0.214285659,0,0
-0.090909091,0,-0.035714197,0.105263117,0,0.136363372,0.107142857,0,0.022222222,0,0,0.533333302,0.024096427,0,0,0.20833342,0,0.363636273,0,-0.125000028
0.35,0,0.030864196,-0.095238062,0,0,0.387096774,-0.090909091,0.304347826,0,-0.045454545,0,0,-0.428571429,0.00454545,0,0.030769294,-0.266666618,-0.0625,0
-0.185185185,0,0,-0.140350863,0,0,-0.186046512,0.1,0,0,0,-0.04347822,-0.011764726,0.75,-0.004524882,0.034482802,0.044776076,0,0,0
0,0,-0.005988047,0.0612245,0.545454147,0,-0.028571429,0,0,0,0,0.090909111,-0.047619028,0,0,0,0.07142859,0,0,0
-0.136363636,0,0.156626525,-0.038461566,0,0,0.147058824,0,0,0,0,0.24999995,0,0,0.113636361,0,0.066666683,0,0,0.428571453
-0.157894737,0,-0.036458372,0,0,0,0,0.136363636,0,-0.009900981,0,0.099999984,-0.0625,0,-0.061224528,0,-0.162499992,0,0,0
0,-0.071428571,-0.075675655,0.019999981,0.015686263,0,0,0.08,0.066666667,0.299999952,0,-0.12121208,-0.013333356,-0.285714286,0.004347822,0,-0.029850806,0.272727182,-0.066666667,0
0.1875,0,-0.011695951,-0.019607825,0,0,-0.076923077,0,0,-0.076923006,0,0,-0.054054032,0,0,0,-0.076923006,0.047619075,0,-0.399999976
0,0,-0.017751435,-0.019999981,-0.011583273,0,0.027777778,-0.148148148,0,0.024999975,0,-0.137931063,-0.014285739,0,0.017316001,0,0,-0.249999966,0,0
0,-0.538461538,-0.006024119,0.020408143,-0.003905975,0,0,0,0,-0.097560978,0,0,-0.057970991,0,0,-0.10000002,-0.05000005,0.212121182,-0.071428571,0
0,0,-0.03030303,-0.060000011,0.003921291,0.520000387,0,0,0.5625,-0.009009,0,0,0.215384589,0,0.042553254,0.111111136,-0.035087686,-0.125000028,0,0
-0.368421053,0,0.162500024,0.085106375,-0.00781277,-0.18421072,-0.081081081,0.034782609,-0.3,0,0,0,-0.113924032,0,0,0,0.727272668,0,0,0
0.25,0,-0.048387075,0.098039258,0,0,-0.029411765,0.050420168,0.142857143,0,0,0,0,0,0.06122443,-0.166666717,-0.526315796,0.142857179,0.076923077,0
0.066666667,0,-0.062146912,-0.017857186,-0.003936456,0.935484184,-0.090909091,0,0,0,0,0,-0.042857155,0,0.038461595,-0.040000051,0.111111141,0,0,0
0,0,-0.030120481,0.018181863,0,0,0.066666667,0,0.125,0,0.904761905,0,0.014925399,0,-0.037037089,0,0,-0.125000028,0,0
0.0625,0,-0.080745352,-0.142857186,0,0,0.09375,-0.12,0,-0.100000011,0,-0.160000038,-0.058823566,0,0,0,0.539999962,0,0,0.499999901
0,0,0.060810784,0.041666699,0.007905133,-0.133333381,-0.085714286,0,-0.122222222,0.010101,0.025,0,-0.12499995,0,0.038461595,0.125000102,0.168831167,0.371428564,0,0
0,0,0.025477744,-0.04000003,0,0,-0.03125,0.090909091,-0.050632911,0,0,0.190476245,-0.053571442,0,0,0.111111136,-0.055555504,-0.125000008,0,-0.388888859
-0.176470588,0,0,0,-0.007843132,0,0.064516129,0,0.133333333,0,0,0,0.075471665,0,0,0,-0.152941167,0,0,-0.05454551
0,0,0.012422289,-0.041666628,0.027667872,0,-0.090909091,0,0,0,-0.268292683,0,0.01754389,0,-0.018518501,-0.066666747,-0.027777833,-0.142857082,-0.214285714,0
0,0,-0.036809783,-0.043478293,-0.007692303,0,0.033333333,0.0625,-0.105882353,0,0,0.080000019,0,-0.2,-0.056603808,0,0.07142859,-0.027777833,0.363636364,-0.096153815
0,0,-0.070063659,-0.181818168,0,0,-0.032258065,0.019607843,0.039473684,-0.180000007,0,-0.222222271,0.155172382,0.5,-0.039999962,0,0,0,-0.333333333,0
0,0,-0.034246574,-0.055555503,0,0,0,0,0,0,0,-0.047619004,-0.179104467,0,0.1666666,-0.071428556,-0.026666641,0,0.3,0.06382979
-0.142857143,0,-0.007092225,-0.117647141,0,0,0.033333333,-0.153846154,0.010126582,0,0,0,-0.05454547,0,0,0,-0.109589097,0,-0.461538462,0
0,0,0.04285717,0.033333417,0,0,-0.032258065,0.159090909,-0.035087719,0,0,0,-0.038461523,-0.166666667,0.110714267,0,0.076923098,-0.285714274,0,0
-0.166666667,0,0.006849276,-0.032258142,0,0,-0.1,-0.215686275,0.012987013,-0.146341471,0,0,0,-0.2,0.366559532,-0.153846176,-0.142857094,0.200000048,-0.071428571,0
0,0,0.013605429,-0.033333303,0,0,-0.074074074,0,0,0,0,0,-0.060000017,0,-0.030588262,0.090909072,-0.08333335,0.1666666,0,0.059999943
0,0,0.114094014,0,0,0,-0.12,0,0.01025641,0.285714274,-0.013333333,0,0.063829806,0,-0.053398009,0,0,-0.542857145,0,0
0,0,-0.102409682,-0.31034483,0,0,-0.090909091,0,0.002538071,0,0.013513514,0,0.020000034,0,0.025641001,0,-0.090909111,2.187500012,0.846153846,0
0,0,0.006711435,-0.099999991,0,0,-0.1,0,0.005063291,-0.199999947,0,0,0.078431337,0,0,0,0,-0.313725489,0.416666667,0
0.2,0,0.059999975,-0.222222201,0.003876057,0,0,0,-0.143576826,-0.027777833,0,0,-0.090909091,0,-0.050000012,0,-0.100000024,-0.542857145,0,-0.245282967
0,0,0.050314539,-0.214285749,0,0,0.055555556,0,0.117647059,-0.014285701,0,0.100000024,-0.1,0.25,0.078947357,0,0.066666671,0.062500035,-0.294117647,1.125000028
0,0,-0.023952186,-0.272727252,0,0,-0.105263158,-0.1,-0.105263158,-0.01449274,0,0,0,0,0,0,-0.062500004,0,0,0
