YOTA,MNTN,RENE,TGAA,PLAO,CLRC,RFAC,THCP,AITR,SVII,LATG,ATMV,GDST,ALCY,FORL,IPXX,TLGY,SKGR,DUET,ENV,FTEL,BMR,SEZL,INSG,SWIN,NVAC,IROH,CSLM,NOVV,DAVE,LUNR,DJT,IBIO,AQU,DRUG,ATER,MBRX,TECX,HOLO,IVCP,ESHA,MARX,CBRG,VMCA,AY
0,0,0.002259428,0,-0.001771435,0,0,0.002921103,0.000972785,-0.000914934,0,0,0.00091243,-0.001419725,-0.000469715,-0.000478847,0.00088812,0.000905818,0,-0.013405827,0.005908414,0.280071794,-0.009169654,-0.022653701,-0.319931249,0.000888909,0,0,-0.002608672,-0.038702352,-0.089500858,0,0,0,-0.070063701,-0.182203379,-0.001782508,0.007812493,0.370143107,0.124423906,-0.000966206,0,0,0,0.005116552
0,0,0,0,0.002661911,0,0,0,0,0,0,0,0.010938914,0.002843577,0.001879653,0.000479076,0,0,0.000821077,-0.014873257,0.016152736,0.141655009,0.028106311,-0.076158947,-0.469429029,0.00088812,0,0.000364028,0,0.042628848,-0.041587862,0.022144893,-0.017241363,0,-0.109589097,-0.12435235,-0.042857123,-0.015503862,-0.010447716,-0.103278709,0,0,0,0,-0.001696871
0,0.00531963,0.001803382,0,-0.001769952,0,0,0.000485448,-0.00097184,0,0,0.001839969,0,0,-0.001876126,0,0,0,-0.001823196,-0.002050338,-0.021676314,-0.017199059,-0.030505114,0.025089582,0.047619048,0,0,0,0,-0.028109076,0.082840155,-0.05111982,-0.078947399,0,0,0.047337286,-0.076492551,0.023622088,-0.030165911,0.000914098,-0.00096714,0,0.024134823,0.000884109,-0.003965988
-0.015454552,0,0,0,-0.001773006,0,0,0,0.000194538,0.004578772,0,0,-0.010730427,0,0,0,0,0.004524904,0.006392753,0.016996635,0.028065001,-0.141250014,0.017709745,-0.006993001,-0.300000017,0,0.001002027,0,0,-0.028045548,-0.03096532,-0.087352458,0,0.001846764,-0.016153776,0.053672299,0.111111124,-0.007692361,-0.166407528,-0.013698596,0.001936153,-0.000935386,0,8.84E-05,-0.017064803
0.014773763,0.000896882,0,0,0.00088812,0,0,0,0.00155619,-0.000455799,0,0.000918207,0,-0.000945201,0.001879653,0.001436815,0,-0.006756825,0,-0.001285577,0.137931039,0.008733616,0.077715871,0.021126825,-0.181818137,0,-0.000300231,0.00145532,0.001743636,-0.002103988,0.031954811,0.023752562,0.009523801,0,-0.046129799,-0.112600526,-0.047272768,-0.023255792,-0.076492511,0,0.00386473,0.000936262,-0.000978184,-8.84E-05,-0.001157434
-0.012738798,0,-0.001800135,0,0,0,0,0,0.000194198,0.000456007,0,0,0.000820329,0.000946095,0.000938108,0,0,-0.000453439,0,0.038065459,-0.155303031,-0.023088002,0.010973459,0.048275814,0.026984063,0,0,0.000908286,0,0.055120421,0.020947223,0.177924319,0.009434066,0,0.06803274,-0.129909404,-0.196564861,0.015873001,0.07878791,0,-0.000962486,-0.002806336,-0.003916737,0,0.001158775
-0.019354842,-0.002688148,0.000901734,0,-0.002661995,0,0,0,0,-0.000911598,0,0.000917452,0,-0.000472601,-0.001874457,0.000478251,0.000887247,0.002722299,-0.002722385,0.013994702,0.061285477,-0.056130002,0.017832246,0.039473725,-0.10355481,0,-0.000200341,0,-0.001740601,0.055952126,0.111507582,-0.002097906,0.009345785,0,-0.056024525,-0.055555464,0.04988123,-0.023437478,-0.058052476,0.000462974,-0.001926826,0.002814234,0,0,0.00925925
0.011278184,0.002695394,0,0,0.0026691,0,0,0,-0.001941792,0.00091243,0,0,0,0.000472824,0.004694854,0,-0.000886461,0.000904998,0,-0.009958132,-0.032394369,-0.014084457,0.142748367,-0.060126599,-0.017241445,0,0.000400667,0,0,0.087591179,0.027287332,-0.137117556,0.00925925,0,0,11.24264611,11.9072396,0.023999977,-0.033797232,-0.000462759,-0.002895727,-0.002806336,0,0,0.041857771
0.021375422,0.000896078,0.000900836,0,0,0,-0.007346182,0,0,-0.000911598,0,0.003666358,0.003369823,-0.000945201,-0.000934601,0,0,-0.00090418,0.000909939,0.00847015,-0.01892287,0.074603139,0.056525766,-0.016835001,-0.014035075,0,-0.001902098,0.00317603,0,-0.01615704,-0.039062499,0.352192816,0.009174303,0,-0.016260147,-0.069069076,-0.079754589,-0.046874956,-0.074074045,0,0.00677635,0.001876216,0,0,0.003852487
-0.014558676,0,0,0.001800221,0,0,0,0,0,0.00091243,0,-0.001369807,0,0.000946095,0,0.000956045,0.000887247,-0.001357497,0,-0.016972899,0.00890214,-0.059084209,0.097791798,-0.020548007,0.032028525,0,0.001002936,-0.003165974,0,0.029560336,0.159349594,0.160960977,0.045454501,0,-0.066115736,-0.070967676,-0.108571461,0.032786853,-0.111111111,0,0,0,-0.015192058,0,0
