ATER,MBRX,TECX,HOLO,MNPR,DRUG,SEZL,DAVE,LUNR,APLT,DNTH,PI,BBW,EML,JANX,CWST,GEHC,ESGR,AVA,FSI,CHWY,ACLS,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
-0.055084731,-0.004000008,-0.015267221,1.140645083,0.008823521,-0.005102036,0.026391727,0.147252764,0.09253737,0.434666697,0.008790331,-0.037942622,0.006170092,-0.008045083,-0.007368389,-0.010452599,0.004554472,-0.01351306,-0.004153052,0,-0.037800681,-0.02079493,-0.000488292,0,0,0,0.00207797,-0.00018164,0,0,0,0.004440146,-0.000969954,0.001885057,0,0.000960637,0,-0.006381098,0,0,0,0,0,-0.002707557,0.00185869,0,-0.000915772,0,0.002932619,0,0,0
-0.044843072,0.004016072,0.007751992,-0.752712459,0.950437297,-0.041025662,0.023302529,-0.077394652,0.501366054,-0.013011184,-0.009543549,-0.014704471,0.010950504,-0.02027575,0.056203575,-0.01219648,0.004301357,0.025807582,0.011021714,-0.025906712,-0.017857098,-0.041702305,0,0.000948788,0,0,-0.00881286,0,0,0,0.011850512,-0.042667643,-0.003883491,-0.001881511,0.000920831,0.001919338,0.000999024,0,-0.002690559,0,-0.001811549,0,0,0,0,0,0.000458306,0,0.001656939,0,0,0
-0.037558692,0.001999974,0,-0.055454027,-0.147982099,-0.002673794,-0.089320757,-0.060215979,-0.151956334,-0.033898273,0.004189295,-0.003261532,-0.020797207,0.009105932,0.319277138,-0.000330711,-0.016321288,0.019169904,0.011490961,0,-0.027878732,-0.023143632,0.000488531,-0.000947889,-0.000924147,0.001851806,-0.009937266,0.000181673,0,0,-0.011711722,-0.020076289,0,0.000942529,0.001839969,-0.000957785,-0.000499013,0.004587174,0.00449642,0.003759395,-0.006352146,0,0,0,0.00185533,0,0,0.002707557,-0.001167664,-0.000890407,0,0
-0.095121963,0.02794411,-0.007692361,-0.289677429,0.964912313,0.029490588,-0.175253313,-0.015466128,-0.111587982,0.091617891,0.001251593,-0.006147696,0.012831814,0.00902384,0.111872091,0.006065318,0.031301435,-0.001046829,-0.009903878,0.037234071,0.002493704,0.019484058,0,0.001897577,0,0,-0.030110918,0,0,0.000913263,0,0.001638968,0.005847901,0,0.000918207,0,0.000499263,0.003652965,0,0,0.01278542,0,0,0,0,-0.010781661,0.000916191,-0.000900025,0,0,0.002664275,0
0.010781693,0.04854376,-0.007751931,-0.399636699,0.160714305,-0.020833314,0.11552541,0.058348258,0.158212616,0.024999977,0.018333356,0.019555014,0.019659274,-0.001626053,0.073921968,0.012386246,0.016316754,0.010073627,-0.003824686,0.0205128,0.000621905,-0.0161507,0,-0.000946991,0,0.000924236,0.004357294,0,0.002685742,0.002737202,0,0.083452687,0,0,-0.000917365,0,-0.000998027,-0.004549608,0,0,0,0,-0.002669015,0,0,-0.000908286,-0.001098406,-0.001801843,-0.00146131,0,0,-0.014665431
0.010666688,0.090740673,0.015625048,0.815431207,0.038461538,-0.010638288,0.130506084,-0.009329912,-0.346193964,-0.076654982,0.04255315,0.020158504,0.018851779,-0.002442975,-0.037603519,-0.012018196,0.017402078,-0.008567596,-0.018606056,-0.007537681,0.03169672,0.009484732,0,0.000947889,0,0,-0.027657278,0,0,0.00191082,0,-0.033415149,0.001938029,0,0.001836502,0.000958703,0.000999024,0,0,-0.002809053,0.019837715,-0.020887709,0.002676158,0.000904998,0,-0.009090944,-0.000274925,0.00722021,0,0.000891201,0,0
0.055408964,0.045840426,0,-0.214166641,-0.103703675,-0.005376339,0.200000032,0.087328722,0.069377982,0.052830136,0.000784947,0.000767404,0.003364168,-0.011020427,2.294701904,-0.00230136,0.020966606,0.010599564,0.016551286,0.012658216,0.038554179,-0.008582569,0.000195298,0,0.000925002,0.000923382,0.004461792,0,0,0,0,-0.00566408,0.00096714,0,0,0,-0.000998027,0.000914098,0,0,0,0,0,0.000452004,0,-0.005504538,0.001833223,-0.003584226,0.002926803,0,0.002657195,0.023255814
-0.02500005,-0.009740231,0.0153846,0.071049806,-0.173553745,-0.021081099,-0.09309159,0.030708689,-0.123042479,0.32616491,-0.054901946,-0.014569196,0.002095525,0.00742882,-0.063417061,-0.008677514,0.005404237,0.024784497,-0.008584876,0.00999999,-0.017981408,0.008930229,-0.00019526,-0.001893983,0,0,-0.011660244,0,0,-0.000998972,0.000911511,0.001374969,-0.004830936,-0.000941641,0,-0.000957785,-0.002997072,0,0.002685742,0,-0.011494263,0,0,-0.001355571,0,0.026752764,-0.000914934,0,-0.001945477,0,0,0
0.166666743,0.03114753,-0.00757575,-0.038613876,-0.169999981,-0.006074013,-0.107598513,0.00038198,0.02551022,-0.037837866,0.026970938,0.062348058,0.001254734,0.022122119,0.038308827,-0.001662067,-0.018705632,0.003715824,-0.008659328,0.00495049,0.041937334,0.017611966,0,0.000948788,0.000924236,0.004612564,0.008988756,0,0,0,0,0.01078853,0.005825191,0.000942529,0,0.000958703,0,0,0,0,0.001788864,0,0.0026691,0,0,0.003593887,0.002747228,0,0,0,0,0
0.04615384,-0.028616862,0.015267161,-0.071060779,0.079518052,-0.022222202,-0.03691847,-0.128675096,-0.029850796,-0.007022432,0.04040404,0.031404507,0,-0.026452899,-0.014675545,0.011209791,0.015775662,-0.014385895,0.003313271,-0.019704415,0.022108918,0.031951704,0.00039069,0.000473944,0,-0.003673091,-0.007795067,0.000908286,0,0,0,-0.008926821,-0.002895727,0,0,0.000478938,0,0,0,0,-0.006249973,0,-0.001774663,0.000904998,0,-0.006266759,-0.001826439,0,0,0,0,0
