DRUG,ATER,MBRX,TECX,HOLO,AITR,ALCY,AQU,ATMV,AY,CBRG,CLRC,CSLM,DUET,ENV,ESHA,FORL,GDST,IPXX,IROH,IVCP,LATG,MARX,MNTN,NVAC,PLAO,RENE,RFAC,SKGR,SVII,TGAA,THCP,TLGY,VMCA,YOTA
-0.031496033,-0.067226924,-0.036092462,-0.007874008,-0.151202734,-0.000970896,0.000942529,0,0,-0.044980785,0.001780985,0.012299791,0.002702679,0,-0.013263496,-0.002409602,-0.000184795,0,0,0,0,0,-0.002795875,-0.001517875,0.102040778,-0.000883328,0,0.003224395,0,0,0.000892081,0.009606185,0.000881854,0,0
-0.073170758,-0.009009,-0.040358706,0,-0.040485829,0.00097184,0,0.005524901,0.003649632,-0.014933959,0,-0.0034965,0.000898493,0,0.093031451,0,0,-0.001805009,0.000285376,0.001994064,0,0,0,0.005097037,-0.013687607,0.000884109,0,0,0,0.001361724,0,0.001902902,-0.001762155,0,0
0,-0.040909159,0,-0.031746002,-0.054852367,0,0,0,0,0.030320727,-0.000888909,-0.006140324,-0.000897687,0,0.006472517,0.002898525,0,0,0.00066593,0,0,-0.002654844,0,0,-0.07673466,0.000883412,0.000895276,0,0.001806726,0,0,0,0,0.001313515,0
0.035087686,0.004739332,0.057009333,0.016393427,0.316964308,0.000970896,-0.000470821,0,0,0.032823991,0,0,0,0,0.000321551,0,0.000924236,0,0,-0.002985048,-0.000462545,0.002661911,0,0,0,0,0.000447237,0.000918207,-0.000450867,-0.00045332,0.000891201,0,0,-0.003060848,0
-0.050847411,-0.033018838,0.027851442,-0.032258098,-0.054237301,0,-0.001413037,0,0,0.007671199,0,0,0.000628928,0,0.017839932,0,-0.000923382,0,0,0.001995958,0,-0.001769952,-0.002803713,0,0.000884109,0,-0.000447037,0,0.00045107,-0.001360489,0,-0.001899288,0,0.001754426,0
0,0.03902447,-0.075268795,0,-0.053763442,-0.000969954,0.000943328,0.000915772,0,0.006525331,0,0.001765265,0,0,-0.025580336,-0.002890148,0,0.001808273,0.000950501,0.000996039,-0.000462759,0,0,0,0,0,0,0,-0.000901734,0.000908286,-0.002671392,0,0,0,0.000471042
0,0.032863817,0.069767372,0.008333392,-0.030303002,0.000291287,0,0.000914847,0,0.07563477,0,0.002643148,-0.000179569,0,0.013936163,0.00386473,0.000924236,-0.001805009,-0.000949599,0,0.000925947,0.00177309,0,0,0,0,0.001788864,0,0,0.000907375,0,0,0.002647814,0,0
-0.026785689,0.031818151,-0.054347827,-0.016528975,-0.082031264,-0.000291202,0.000942529,0.000914098,0,0.025113009,0,0,-0.000449045,0,-0.004474969,0.000962394,0,0,0.000950501,-0.000995048,-0.000925091,0.000884976,0.004686053,0.014234862,0,0,0,0,0.001805095,0,0,0,0,0,-0.000941641
0,0.008810564,-0.009655131,0,0.072340458,0,0,0.000913263,0,-0.021558086,0,0,0,0,0.001123771,0,0,0,-0.000474845,-0.000996039,0,0,0,-0.004385898,0,0,0.000446439,0.002752357,0,0,0,0,0,0,0
0.009174303,0.008733616,0.074744666,0.016806774,-0.007936538,0.000970896,0.000941641,0.003649632,0,0.001502288,0,0,0.000898493,0,-0.003367529,0,0,0.000904094,0,0,0,0,0,0,0,0,-0.00044624,-0.000914934,-9.01E-05,-0.000906553,0,0,0,0,0
-0.01363635,0.017316001,0.082073457,-0.016528975,-0.02,0,0.000940755,0,0.000909112,-0.002499962,0,0,0.000897601,0.003649632,0.010297657,-0.00288459,0.003601155,-0.00180664,0,0.001994064,-0.000925947,0,0.004664197,0,0,0,0.000892878,0,-0.000810868,0,0.002678548,-0.000951497,0,0,0.005655082
-0.110599134,-0.034042522,0.001995958,0,0.03265303,0,0,-0.008181832,0.000908286,-0.019047672,-0.003558716,0,-0.000896796,0,-0.011466813,0,-0.002668165,0,-0.00047498,-0.001990095,0,0,-0.002321316,-0.009691683,0,0,0,0.001831456,0,0.002722299,0.005342869,0,0,0,0
0.077720197,0.046255515,0.00796812,0.025210127,0.003952584,0,0,0,0,0.068983158,0,-0.00439369,0,0,0.000322224,0.000964342,0,0,0.0001901,0.001196419,0,0,0.003257315,0,0,0,0,0.003656304,-0.000721404,-0.001809996,0,-0.004761923,0.000880302,0,0
0.005769271,0.014736878,0.017786592,0.008196713,0.003937023,0,0.005639047,0.009165938,-0.000907462,0.023900574,0,0,0,0,0.020937337,0,0,0,0,-0.000199149,-0.001853522,-0.000884194,0,0,0,0.000882633,0,-0.003642984,0.00162431,0,-0.003542955,0.004784707,0.002638499,0,-0.000937229
-0.053537279,-0.01244812,-0.02524274,-0.008130073,-0.101960799,0.000969862,-0.002803713,0,0,-0.000466864,-0.015178578,0,0,0,-0.006783409,0,0,0.00180991,0.000760257,0.000996039,0,0,0,0,0,0,0,0,-0.001351382,0.001813278,0,0,-0.001666671,0.00175127,0
0.030303001,0.029411735,0.00398406,0.016393427,-0.074235759,0,-0.001874457,0,0,0.028024306,0.015231208,0.000882633,-0.000897687,0,0.007465077,0,0.00092253,0,-0.000949599,0,0,0,-0.005565813,0,0,0.000881854,0,0,0.003157406,-0.000904998,0,0,0.00079086,0,0.011257025
